Season,Team,1B as L,1B as R,2B as L,2B as R,3B as L,3B as R,HR as L,HR as R
2025,Angels,99,101,95,97,101,100,107,104
2025,Orioles,103,103,95,98,91,120,106,94
2025,Red Sox,104,105,118,104,114,119,95,101
2025,White Sox,100,100,94,98,84,90,108,103
2025,Guardians,100,101,99,103,82,95,103,96
2025,Tigers,101,101,99,103,143,96,95,98
2025,Royals,103,103,107,108,128,118,92,96
2025,Twins,101,99,102,106,93,91,102,96
2025,Yankees,97,97,95,96,85,86,107,104
2025,Athletics,100,103,106,107,105,91,104,102
2025,Mariners,95,95,93,93,75,84,93,98
2025,Rays,100,107,96,96,82,100,100,108
2025,Rangers,99,96,101,99,89,96,105,99
2025,Blue Jays,97,98,105,99,88,90,97,105
2025,Diamondbacks,102,103,104,105,119,120,88,92
2025,Braves,102,99,97,99,91,111,99,97
2025,Cubs,102,99,99,93,129,96,97,101
2025,Reds,101,102,100,102,90,78,117,114
2025,Rockies,108,109,108,113,128,142,105,108
2025,Marlins,102,100,100,101,113,104,101,94
2025,Astros,101,97,101,98,129,99,102,102
2025,Dodgers,98,95,98,98,88,81,107,112
2025,Brewers,94,97,95,97,107,100,105,102
2025,Nationals,103,99,101,99,93,102,99,103
2025,Mets,98,98,98,93,85,91,97,101
2025,Phillies,100,99,95,100,109,96,108,104
2025,Pirates,102,102,107,103,92,105,95,91
2025,Cardinals,100,101,96,100,84,94,94,94
2025,Padres,97,97,97,94,83,89,101,100
2025,Giants,100,102,102,101,106,115,91,90
