Season,Team,Basic (5yr),3yr,1yr,1B,2B,3B,HR,SO,BB,GB,FB,LD,IFFB,FIP
2025,Angels,101,100,99,100,97,100,107,102,101,99,99,102,93,101
2025,Orioles,99,99,108,104,95,102,96,98,98,100,100,101,99,100
2025,Red Sox,104,103,99,104,110,116,99,98,101,104,98,101,101,100
2025,White Sox,100,98,99,100,96,84,106,99,102,99,104,99,103,103
2025,Guardians,99,100,102,100,101,89,98,101,101,101,96,99,96,99
2025,Tigers,100,102,101,100,100,123,93,98,102,100,101,101,108,100
2025,Royals,103,104,96,105,109,116,95,96,101,104,101,107,98,100
2025,Twins,100,103,104,99,104,94,99,101,102,99,102,97,103,100
2025,Yankees,99,99,96,98,97,85,107,101,100,98,104,98,102,102
2025,Athletics,103,105,105,100,100,100,90,100,100,100,100,101,101,102
2025,Mariners,94,92,91,96,93,79,97,103,97,98,99,96,106,96
2025,Rays,101,101,101,96,98,102,96,102,101,97,99,96,100,102
2025,Rangers,99,98,90,99,100,98,104,101,101,99,103,99,96,101
2025,Blue Jays,100,100,102,99,103,91,100,100,98,100,100,102,100,101
2025,Diamondbacks,101,101,102,104,105,118,91,99,100,103,98,104,95,97
2025,Braves,100,99,99,102,98,102,98,102,100,101,98,100,94,98
2025,Cubs,97,95,96,100,95,110,98,101,98,100,97,101,99,98
2025,Reds,105,102,99,101,101,84,118,102,102,99,101,101,110,105
2025,Rockies,113,113,118,108,110,135,107,96,100,107,97,109,93,105
2025,Marlins,101,103,93,102,103,106,98,100,101,101,100,101,98,100
2025,Astros,100,100,100,98,99,109,100,101,99,99,96,102,99,100
2025,Dodgers,99,98,108,97,97,85,108,100,96,97,101,97,98,103
2025,Brewers,98,97,93,97,96,102,105,103,102,96,102,97,103,100
2025,Nationals,100,101,101,99,99,92,100,98,98,100,102,98,100,101
2025,Mets,96,98,99,96,95,86,99,102,103,97,100,96,108,99
2025,Phillies,102,103,112,98,97,104,105,100,100,99,100,100,104,102
2025,Pirates,101,101,99,103,105,96,94,97,102,102,102,102,96,99
2025,Cardinals,98,100,97,101,97,93,95,97,98,101,101,99,102,98
2025,Padres,96,98,99,97,96,81,102,102,99,98,100,98,104,99
2025,Giants,97,94,94,101,103,112,91,98,98,103,97,97,93,96
