batter,avg_pa,babip,rolling_xBA,momentum,matchup_score,l10_hit_rate,season_hit_rate,avg_vs_L,avg_vs_R,streak_len,stand
699806,3.8,0.3,0.25,88.0,0.0,0.6,0.6,0.26,0.26,0,R
675980,3.8,0.3,0.25,88.0,0.0,0.6,0.6,0.26,0.26,0,L
691261,3.8,0.0,0.25,88.0,0.0,0.6,0.6,0.0,0.0,0,R
686956,3.8,0.0,0.25,88.0,0.42850065,0.6,0.6,0.0,0.0,0,R
663760,3.8,0.0,0.25,88.0,-4.107143,0.6,0.6,0.0,0.0,0,R
680438,3.8,0.0,0.25,88.0,-7.375,0.6,0.6,0.0,0.0,0,L
805862,3.8,0.0,0.25,88.0,-5.4289474,0.6,0.6,0.0,0.0,0,R
663799,3.8,0.0,0.25,88.0,6.228958,0.6,0.6,0.0,0.0,0,R
688815,3.8,0.0,0.25,88.0,-5.071052,0.6,0.6,0.0,0.0,0,R
670190,3.8,0.3,0.25,88.0,0.0,0.6,0.6,0.26,0.26,0,R
663544,3.8,0.0,0.25,88.0,5.031212,0.6,0.6,0.0,0.0,0,L
677690,3.8,0.0,0.25,88.0,0.0,0.6,0.6,0.0,0.0,0,R
701800,3.8,0.0,0.25,88.0,-7.815813,0.6,0.6,0.0,0.0,0,R
608700,3.8,1.0,0.25,88.0,0.0,0.6,0.6,0.0,1.0,0,R
664119,3.8,0.0,0.25,88.0,-5.1978884,0.6,0.6,0.0,0.0,0,L
571679,3.8,0.0,0.25,88.0,-3.5341716,0.6,0.6,0.0,0.0,0,R
657780,4.0,0.0,0.25,88.0,-2.880775,0.0,0.0,0.0,0.0,0,L
690956,3.8,0.0,0.25,88.0,0.0,0.6,0.6,0.0,0.0,0,L
664334,3.8,0.3,0.25,88.0,0.0,0.6,0.6,0.26,0.26,0,R
687347,3.8,0.0,0.25,88.0,-5.78594,0.6,0.6,0.0,0.0,0,R
657144,3.8,0.0,0.25,88.0,0.0,0.6,0.6,0.0,0.0,0,L
689880,3.8,0.3,0.25,88.0,0.0,0.6,0.6,0.26,0.26,0,R
687930,3.8,0.3,0.25,88.0,0.0,0.6,0.6,0.26,0.26,0,L
676667,3.8,0.0,0.25,88.0,-8.8268385,0.6,0.6,0.0,0.0,0,R
642456,3.8,0.3,0.25,88.0,0.0,0.6,0.6,0.26,0.26,0,L
657212,5.0,1.0,0.25,88.0,-5.273632,1.0,1.0,1.0,0.0,1,L
664104,1.0,0.0,0.25,88.0,0.0,0.0,0.0,0.0,0.0,0,L
