pitcher,p_whip,cf_score,p_throws
656547,0.0,0.0,R
678707,1.2666667,0.0,R
592455,1.2666667,0.0,L
665854,0.0,0.0,R
666123,1.9,0.0,R
663472,0.0,0.0,R
687871,0.0,0.0,R
678041,0.0,0.0,L
676831,1.3,0.0,R
681464,1.425,0.0,R
668683,0.34545454,0.0,R
687312,0.0,0.0,R
663578,0.0,0.0,R
664944,0.0,0.0,L
667421,0.95,0.0,R
672755,1.9,0.0,R
621098,0.0,0.0,R
677124,1.0857143,0.0,R
657228,1.9,0.0,R
677185,1.3,0.0,R
690086,0.6333333,0.0,R
680451,0.0,0.0,R
570488,0.76,0.0,R
657116,1.3,0.0,R
682106,0.0,0.0,L
650530,1.3,0.0,R
621348,0.6333333,0.0,L
659262,0.19,0.0,R
672911,0.76,0.0,R
694331,0.0,0.0,R
657770,0.76,0.0,L
681958,0.6333333,0.0,R
667722,1.3,0.0,R
672810,0.42222223,0.0,R
592858,0.0,0.0,R
656342,1.2666667,0.0,R
676221,0.0,0.0,L
656206,0.0,0.0,R
680454,0.0,0.0,L
664337,0.0,0.0,R
681401,0.0,0.0,R
688896,0.0,0.0,R
684604,0.22352941,0.0,R
681320,0.0,0.0,L
681886,1.33,0.0,L
667445,0.0,0.0,R
674289,1.3,0.0,R
666130,0.82608694,0.0,L
687840,0.0,0.0,R
643357,0.0,0.0,R
624526,1.52,0.0,L
663489,0.0,0.0,L
605195,0.66086954,0.0,R
676546,0.0,0.0,R
642840,1.9,0.0,R
663613,0.475,0.0,R
679655,0.6909091,0.0,R
693388,1.2666667,0.0,R
670404,0.0,0.0,L
681484,3.8,0.0,R
600355,1.3,0.0,R
641709,0.0,0.0,R
592769,1.1875,0.0,L
650204,1.52,0.0,R
667435,1.3,0.0,R
681256,1.14,0.0,R
676600,0.3653846,0.0,L
676637,1.3,0.0,R
676785,0.0,0.0,R
679052,0.76,0.0,R
679630,0.0,0.0,R
801389,0.95,0.0,R
691526,1.3,0.0,R
682027,0.0,0.0,L
600887,0.31666666,0.0,L
664687,0.475,0.0,R
670288,2.5333333,0.0,L
687205,1.3,0.0,R
605240,0.46530613,0.0,L
668954,0.76,0.0,R
656803,0.4318182,0.0,R
641995,0.0,0.0,R
678371,0.57,0.0,R
676515,0.27142859,0.0,R
672550,0.95,0.0,R
681322,0.38,0.0,R
676670,0.84444445,0.0,R
701539,0.76,0.0,L
676292,1.2666667,0.0,R
674375,0.95,0.0,R
674381,0.76,0.0,R
664161,0.22352941,0.0,R
677915,0.43846154,0.0,R
676709,0.28148147,0.0,R
572703,0.46060607,0.0,R
592145,3.8,0.0,L
670393,0.0,0.0,R
663506,0.0,0.0,R
681555,0.14615385,0.0,R
681989,0.12666667,0.0,R
682255,1.3,0.0,R
688873,1.3,0.0,R
685401,0.31666666,0.0,R
606273,0.57,0.0,L
676840,0.0,0.0,R
658551,0.0,0.0,R
669443,0.44705883,0.0,R
592717,1.0857143,0.0,R
641464,0.33529413,0.0,R
691828,0.304,0.0,R
605538,0.31666666,0.0,R
670986,0.0,0.0,R
672848,1.3,0.0,R
697813,0.95,0.0,R
687938,0.0,0.0,R
573046,1.9,0.0,R
666803,0.0,0.0,R
675276,1.3,0.0,R
677643,0.76,0.0,R
657752,1.3,0.0,R
642563,0.6909091,0.0,R
592712,0.0,0.0,R
608716,0.6785714,0.0,R
644425,0.42222223,0.0,R
672774,0.0,0.0,R
690345,0.0,0.0,R
664048,0.0,0.0,R
681835,0.0,0.0,R
680212,0.6333333,0.0,R
701566,0.42222223,0.0,R
641409,0.25333333,0.0,R
680423,1.3,0.0,R
676362,0.0,0.0,R
657246,0.95,0.0,R
671987,0.76,0.0,R
681603,0.0,0.0,R
669740,0.0,0.0,R
669746,1.3,0.0,R
572096,0.8,0.0,R
686933,0.6333333,0.0,R
656368,1.3,0.0,R
669437,1.2666667,0.0,R
681085,0.38,0.0,R
491624,0.3,0.0,R
664082,0.57575756,0.0,L
671093,0.0,0.0,R
489265,0.95,0.0,R
667176,0.31666666,0.0,R
678752,0.89411765,0.0,L
669648,0.36190477,0.0,L
659418,0.4329114,0.0,R
681897,0.2,0.0,R
694312,0.34545454,0.0,R
672374,0.0,0.0,L
670138,1.3,0.0,R
663443,0.76,0.0,R
641501,0.5241379,0.0,R
805437,0.456,0.0,R
677066,0.28148147,0.0,R
669085,0.95,0.0,R
656259,0.66086954,0.0,R
677946,0.0,0.0,L
682915,1.3,0.0,R
690281,0.0,0.0,R
681803,0.21111111,0.0,R
641974,0.50666666,0.0,R
703710,0.36190477,0.0,L
673766,0.36190477,0.0,R
667429,0.54285717,0.0,R
702355,0.46341464,0.0,R
681753,0.6333333,0.0,R
686449,0.0,0.0,R
675640,0.38,0.0,R
676699,0.0,0.0,R
679025,0.28148147,0.0,L
691109,0.21111111,0.0,R
519076,0.0,0.0,R
573668,0.5241379,0.0,R
677369,0.0,0.0,L
676089,0.21111111,0.0,R
684937,0.34545454,0.0,R
669393,1.3,0.0,L
607461,1.3,0.0,R
593643,0.76,0.0,R
642578,0.475,0.0,R
542208,0.67058825,0.0,R
641525,0.0,0.0,R
686842,0.39652175,0.0,R
543281,0.8,0.0,R
640444,0.40425533,0.0,R
613564,1.0,0.0,R
518516,0.4115869,0.0,L
596082,0.22352941,0.0,R
592222,1.0133333,0.0,L
543594,0.45238096,0.0,L
592390,0.49565217,0.0,R
657041,1.6285714,0.0,R
656981,0.44796747,0.0,R
544727,0.38127092,0.0,R
629498,0.7354839,0.0,R
642758,0.32513368,0.0,R
621433,1.52,0.0,R
517008,0.3257143,0.0,R
571875,1.3,0.0,R
686972,0.5018868,0.0,R
506702,0.0,0.0,R
607968,0.44107142,0.0,R
685410,0.2928709,0.0,R
657272,0.5,0.0,R
664202,0.38,0.0,R
641420,0.4030303,0.0,R
542194,1.3,0.0,R
670042,0.89411765,0.0,R
606625,0.6551724,0.0,R
621249,0.40561798,0.0,R
663630,1.0857143,0.0,R
670712,0.38,0.0,R
657031,0.33236152,0.0,L
689172,0.95,0.0,R
572008,1.0857143,0.0,R
672730,0.33043477,0.0,R
663971,0.0,0.0,R
543901,0.37790054,0.0,R
595411,0.2988764,0.0,L
542914,0.30930233,0.0,R
608328,0.38617885,0.0,R
668665,0.31474748,0.0,R
571616,0.27142859,0.0,L
669105,0.47927928,0.0,L
488984,0.31329787,0.0,R
673111,0.6333333,0.0,L
668754,0.16703297,0.0,R
605612,0.82608694,0.0,R
446372,0.3413623,0.0,R
681584,0.54285717,0.0,R
623507,0.54285717,0.0,R
621076,0.35311168,0.0,R
611093,0.2860215,0.0,R
673858,0.54285717,0.0,R
663753,0.42222223,0.0,R
570731,0.0,0.0,R
656290,0.26434782,0.0,R
645801,0.7037037,0.0,R
456713,0.33529413,0.0,R
605151,0.36190477,0.0,R
518626,0.0,0.0,R
621219,0.4108108,0.0,R
660634,0.0,0.0,R
622772,0.24104477,0.0,R
593619,0.2502994,0.0,R
681808,0.38,0.0,R
543548,0.26511627,0.0,L
689167,0.30574712,0.0,R
607054,0.46060607,0.0,R
676632,3.8,0.0,R
607188,0.38,0.0,R
642770,0.43591022,0.0,R
472551,0.38513514,0.0,L
572193,0.33777776,0.0,R
543543,0.38,0.0,R
680232,0.44186047,0.0,L
686651,0.4089686,0.0,R
663385,0.32307693,0.0,R
650907,0.76,0.0,R
642231,0.3544776,0.0,R
668470,0.0,0.0,R
650496,0.3272727,0.0,R
621295,0.33361885,0.0,R
665734,0.25714287,0.0,R
657093,0.34545454,0.0,R
660431,0.95,0.0,R
666721,0.2886076,0.0,R
666364,0.35027933,0.0,R
661383,0.28381744,0.0,R
455117,0.89411765,0.0,R
622110,0.456,0.0,R
608348,0.8636364,0.0,R
670097,0.4342857,0.0,R
664942,0.45266458,0.0,R
592789,0.3395532,0.0,R
621368,0.40835822,0.0,L
607457,0.42222223,0.0,R
596057,0.30616114,0.0,L
682051,0.40467533,0.0,R
628711,0.292465,0.0,L
669424,0.32212645,0.0,R
664028,0.28148147,0.0,R
657248,0.37173912,0.0,R
681807,0.42222223,0.0,R
592527,0.0,0.0,R
607359,0.33128205,0.0,R
543521,0.3398374,0.0,R
656061,0.3120438,0.0,R
656970,0.35696968,0.0,L
679346,0.39151517,0.0,R
641447,0.37254903,0.0,L
656322,0.28787878,0.0,R
664874,0.0,0.0,R
500871,0.2923077,0.0,R
453178,0.26455697,0.0,R
592346,0.50666666,0.0,R
605446,0.50666666,0.0,R
425794,0.4123358,0.0,R
682967,0.32933334,0.0,R
571901,0.35225955,0.0,L
592848,0.2451613,0.0,R
502202,0.27859238,0.0,R
453268,0.33900416,0.0,R
641627,0.30491474,0.0,R
592229,0.32909337,0.0,R
663658,0.3153076,0.0,R
663629,0.5588235,0.0,L
657140,0.3983871,0.0,R
502083,0.34262297,0.0,R
661309,0.314316,0.0,R
682010,0.39605632,0.0,R
600921,0.31505102,0.0,R
656382,0.39197707,0.0,R
672715,0.36473215,0.0,R
572403,0.26479638,0.0,R
543507,0.28878167,0.0,R
607755,0.30609897,0.0,L
680983,0.36774194,0.0,R
547943,0.30326483,0.0,L
680723,0.38787878,0.0,L
666154,0.37304494,0.0,R
674681,0.3268817,0.0,L
543272,0.29457363,0.0,L
656669,0.27142859,0.0,R
594943,0.35444686,0.0,R
663986,0.29076517,0.0,R
676265,0.36347827,0.0,R
660593,0.34545454,0.0,R
656578,0.28865385,0.0,R
425844,0.31538805,0.0,R
688857,0.0,0.0,R
693759,0.0,0.0,R
678279,0.6333333,0.0,R
802402,0.0,0.0,L
672836,0.27142859,0.0,R
621048,1.3,0.0,R
681473,0.38,0.0,R
669639,0.0,0.0,R
542947,0.36300814,0.0,L
676252,0.5846154,0.0,R
690206,1.3,0.0,R
663735,1.3,0.0,R
701856,1.3,0.0,R
571710,0.3542373,0.0,R
680223,1.2666667,0.0,R
605200,0.3532127,0.0,R
681544,0.0,0.0,R
690736,1.0857143,0.0,L
657624,0.50666666,0.0,R
664301,1.9,0.0,R
702911,0.31666666,0.0,L
676987,0.22352941,0.0,R
805257,0.304,0.0,L
700177,0.0,0.0,R
570666,0.4820296,0.0,R
592169,0.76,0.0,R
681025,1.3,0.0,L
676433,3.8,0.0,R
696522,0.50666666,0.0,R
656647,0.38,0.0,L
696275,0.44705883,0.0,R
605498,0.34666666,0.0,L
676498,0.7953488,0.0,L
687258,1.3,0.0,R
810921,0.0,0.0,R
669001,0.0,0.0,R
694357,0.09047619,0.0,L
688984,0.0,0.0,R
665167,0.84444445,0.0,R
670154,0.0,0.0,R
665001,0.31986532,0.0,R
688703,3.8,0.0,R
676454,0.84444445,0.0,L
669247,0.0,0.0,R
676907,0.0,0.0,R
696150,0.0,0.0,R
681185,0.0,0.0,R
656548,0.19,0.0,R
623381,0.6422535,0.0,L
664092,0.0,0.0,R
695026,0.33043477,0.0,L
681738,0.475,0.0,R
641750,1.3,0.0,R
687423,1.14,0.0,L
607216,0.16703297,0.0,R
679892,1.2666667,0.0,L
661536,0.54285717,0.0,R
701603,0.3102041,0.0,R
663500,0.76,0.0,R
684871,0.0,0.0,R
681407,1.3,0.0,R
682489,0.0,0.0,R
681154,0.0,0.0,L
571479,0.3069231,0.0,R
672839,0.0,0.0,R
684665,0.27142859,0.0,R
687856,0.50666666,0.0,R
800723,0.2923077,0.0,R
700287,0.31666666,0.0,R
669668,0.31666666,0.0,R
691004,0.0,0.0,R
681744,0.0,0.0,R
675976,0.67058825,0.0,R
669697,0.34545454,0.0,R
804922,0.475,0.0,R
678743,0.0,0.0,R
660906,0.2923077,0.0,L
665996,0.54285717,0.0,L
692983,0.0,0.0,L
680089,0.67058825,0.0,R
663752,0.35555556,0.0,R
642545,0.31203896,0.0,R
676620,0.0,0.0,L
694559,0.38,0.0,L
667414,1.0857143,0.0,R
694381,0.12258065,0.0,R
805728,0.0,0.0,R
668719,0.84444445,0.0,R
695229,0.0,0.0,R
684946,0.0,0.0,R
641541,1.0857143,0.0,R
669431,0.0,0.0,L
676689,0.31666666,0.0,R
669310,1.52,0.0,R
677352,0.6333333,0.0,L
680758,0.84444445,0.0,R
671220,1.3,0.0,R
690103,1.3,0.0,R
592473,0.12666667,0.0,L
678620,0.76,0.0,L
641632,0.0,0.0,R
647306,0.95,0.0,L
668998,0.42222223,0.0,R
675527,0.0,0.0,L
694833,0.0,0.0,L
546276,0.21714285,0.0,L
476595,0.3216301,0.0,L
656701,0.11176471,0.0,R
621142,0.39310345,0.0,R
685095,0.89411765,0.0,R
687271,0.6333333,0.0,R
682607,0.4903226,0.0,L
685461,2.28,0.0,R
814088,0.0,0.0,R
661440,0.2784733,0.0,R
678725,0.0,0.0,R
687825,0.0,0.0,R
681094,0.0,0.0,L
702785,0.0,0.0,R
688274,0.6333333,0.0,R
594577,0.36416668,0.0,R
641461,0.0,0.0,R
667427,0.30616114,0.0,R
678738,0.31666666,0.0,L
678713,1.0133333,0.0,R
503449,0.988,0.0,R
663670,0.44705883,0.0,R
681924,0.5846154,0.0,R
678478,0.0,0.0,R
666122,0.54285717,0.0,L
518633,0.34545454,0.0,L
801682,0.0,0.0,R
642130,0.36774194,0.0,L
681571,0.56296295,0.0,R
687397,0.0,0.0,R
666202,0.0,0.0,L
696098,0.304,0.0,R
814217,0.6333333,0.0,R
802180,0.27142859,0.0,R
808970,0.49565217,0.0,R
681938,1.3,0.0,R
683522,0.21111111,0.0,R
665178,0.14615385,0.0,L
686839,0.30987126,0.0,R
665048,0.37593582,0.0,R
663977,0.25333333,0.0,L
592716,0.62531644,0.0,R
572888,0.38,0.0,R
689042,0.26206896,0.0,R
543606,0.285,0.0,R
664054,1.3,0.0,R
687481,0.25333333,0.0,R
669416,0.54285717,0.0,R
656814,0.3494253,0.0,R
661269,0.5588235,0.0,R
680686,0.31596318,0.0,R
622766,0.27320263,0.0,R
659275,0.36527976,0.0,R
593934,0.0,0.0,R
668942,0.61290324,0.0,R
668874,1.9,0.0,R
527054,0.29131174,0.0,R
666197,1.3,0.0,R
543475,0.30410308,0.0,R
621097,0.39915967,0.0,R
656266,0.23265307,0.0,R
666163,0.42222223,0.0,R
641149,0.45547944,0.0,R
643493,0.285,0.0,R
620982,0.39922178,0.0,R
668868,0.32729575,0.0,L
665620,0.3227564,0.0,R
621550,1.9,0.0,R
543305,0.0,0.0,R
670223,0.38,0.0,R
680911,1.3,0.0,R
670219,0.475,0.0,R
598264,0.31666666,0.0,R
683822,0.23265307,0.0,R
666149,0.6909091,0.0,R
622075,0.2835821,0.0,R
681871,0.27941176,0.0,R
640470,0.26429674,0.0,R
622072,0.31451246,0.0,L
607237,0.33210084,0.0,L
623451,0.3503546,0.0,R
701643,0.27718833,0.0,R
666159,0.28995985,0.0,R
608648,0.27762556,0.0,R
677076,0.45037037,0.0,L
607644,0.20588236,0.0,L
669796,0.30265486,0.0,L
571863,0.33313522,0.0,R
669169,0.41613832,0.0,R
687014,0.34545454,0.0,R
669952,0.31491712,0.0,R
679845,0.6333333,0.0,R
666208,0.34545454,0.0,R
664350,0.3322086,0.0,R
657061,0.0,0.0,R
664901,0.82608694,0.0,R
571539,0.38,0.0,R
703231,0.6333333,0.0,R
665828,0.76,0.0,R
656976,0.0,0.0,L
663531,0.37336245,0.0,L
669912,0.37902814,0.0,L
668472,0.0,0.0,L
643256,0.28781065,0.0,R
678061,0.33920386,0.0,L
668800,0.26206896,0.0,R
622694,0.28203124,0.0,R
656887,0.26464286,0.0,R
624647,0.25416666,0.0,L
543351,0.2527897,0.0,R
680572,0.0,0.0,R
663776,0.3116279,0.0,L
670103,1.2666667,0.0,L
668676,0.41047463,0.0,R
681806,0.29027778,0.0,R
542882,0.2923077,0.0,R
641726,0.37748346,0.0,R
672552,0.33174604,0.0,L
600986,0.304,0.0,R
623520,1.3,0.0,R
572971,0.35978723,0.0,L
686294,0.34618643,0.0,R
641645,0.5181818,0.0,R
675921,0.39809525,0.0,R
656671,0.18765432,0.0,L
528748,0.37819904,0.0,R
630023,0.3489182,0.0,R
657697,0.26642066,0.0,R
814005,0.29769585,0.0,R
676391,0.57,0.0,R
543063,0.42222223,0.0,R
606149,0.29647413,0.0,R
518617,0.2877044,0.0,L
622251,0.30645162,0.0,R
670242,0.54285717,0.0,R
670241,0.3161062,0.0,R
664079,0.3402985,0.0,L
689672,0.29062048,0.0,R
502179,0.43606558,0.0,R
622103,0.32226148,0.0,R
592741,0.29407498,0.0,L
665896,0.3447084,0.0,R
666720,0.3279452,0.0,R
670161,0.44705883,0.0,R
666745,0.29640356,0.0,R
689981,0.32340425,0.0,R
641712,0.3636489,0.0,R
642086,0.25333333,0.0,L
642028,0.39790577,0.0,L
572020,0.3025582,0.0,L
613534,0.26571187,0.0,R
680739,0.30975255,0.0,R
608678,0.32091555,0.0,R
666207,0.37012988,0.0,R
542585,0.33343002,0.0,R
656924,0.30441988,0.0,R
656412,0.27064484,0.0,R
666204,0.29812154,0.0,R
642629,0.28228572,0.0,R
681066,0.3955836,0.0,L
519293,0.27279598,0.0,L
570257,0.3369072,0.0,L
676614,0.23609467,0.0,L
621399,0.6333333,0.0,L
621294,0.32626262,0.0,R
456501,0.29111338,0.0,R
667478,1.3,0.0,L
628708,0.35578284,0.0,R
571527,0.33529413,0.0,R
694813,0.32563442,0.0,R
592288,0.33216783,0.0,L
502171,0.30047813,0.0,R
593334,0.28579912,0.0,R
682073,0.2375,0.0,R
656793,0.2857143,0.0,R
685116,0.4064171,0.0,L
668968,0.2550926,0.0,R
543238,0.5,0.0,L
598286,0.32072648,0.0,L
680897,0.3912553,0.0,R
545121,0.50666666,0.0,R
642834,0.48604652,0.0,L
502624,0.3028076,0.0,R
641582,0.35514018,0.0,R
622268,0.95,0.0,R
571670,0.3211,0.0,R
663704,0.30533016,0.0,R
666818,0.38335434,0.0,R
675627,0.3134212,0.0,R
458681,0.30677837,0.0,R
664776,0.2695349,0.0,R
656657,0.37801048,0.0,L
605335,0.38,0.0,L
687924,0.28369352,0.0,R
641771,0.34110564,0.0,R
657193,0.0,0.0,R
679156,0.34833333,0.0,L
622259,0.3,0.0,R
656756,0.32434306,0.0,L
660600,0.2638889,0.0,R
608344,0.33127585,0.0,L
641703,0.29865813,0.0,R
660813,0.25380996,0.0,R
686796,0.28655738,0.0,L
686539,0.34236783,0.0,R
687792,0.27055806,0.0,L
674003,0.26078433,0.0,L
683568,0.285,0.0,R
670046,0.32411766,0.0,L
605397,0.27353132,0.0,R
683068,0.32112676,0.0,L
658648,0.28900477,0.0,R
543339,0.25451162,0.0,R
622065,0.30881095,0.0,L
523260,0.2799693,0.0,R
657508,0.30181143,0.0,R
670124,0.37660715,0.0,R
683003,0.29022405,0.0,R
668338,0.23304941,0.0,R
676105,0.29780564,0.0,R
656353,0.35026795,0.0,L
676710,0.2778068,0.0,R
592767,0.31910047,0.0,L
571656,0.2595501,0.0,R
571882,0.29403806,0.0,R
672860,0.2736,0.0,R
666205,0.37155557,0.0,L
679525,0.3083713,0.0,R
641729,0.25518247,0.0,R
686763,0.6333333,0.0,R
700786,0.0,0.0,R
666301,0.4586207,0.0,R
678883,0.21111111,0.0,R
676697,0.0,0.0,L
663302,1.3,0.0,R
801870,0.6909091,0.0,R
650895,0.37717122,0.0,R
608638,0.26994535,0.0,R
543766,0.3073224,0.0,R
801505,0.0,0.0,R
669618,0.36190477,0.0,R
698785,1.3,0.0,R
673395,0.95,0.0,R
805871,0.2,0.0,R
667725,0.36129034,0.0,R
700072,0.0,0.0,R
681097,0.6909091,0.0,R
670871,0.27880436,0.0,R
676012,1.3,0.0,R
641360,0.28639218,0.0,R
681060,0.95,0.0,R
663989,0.32959184,0.0,L
815179,1.3,0.0,R
686827,1.3,0.0,R
641427,0.35566503,0.0,R
641682,0.0,0.0,R
806581,1.3,0.0,R
687095,0.0,0.0,L
695038,1.425,0.0,R
605121,0.3221655,0.0,R
621016,0.32289156,0.0,R
656820,0.40491804,0.0,R
688427,0.49719626,0.0,L
676714,0.36421725,0.0,L
678576,0.46530613,0.0,R
687273,0.31666666,0.0,L
669111,0.21538462,0.0,R
669395,0.3655481,0.0,R
548389,0.34974808,0.0,R
823909,1.3,0.0,L
686762,0.0,0.0,R
686608,0.6551724,0.0,R
812521,0.76,0.0,R
667434,0.50666666,0.0,R
666785,0.25333333,0.0,R
672851,0.3323715,0.0,R
675916,0.27110037,0.0,R
828496,0.0,0.0,R
694391,1.3,0.0,R
801546,0.0,0.0,R
801128,0.0,0.0,R
686830,0.0,0.0,L
688328,0.4,0.0,R
679758,0.8142857,0.0,R
667280,1.9,0.0,L
691634,0.0,0.0,R
682202,2.5333333,0.0,R
687956,0.38,0.0,R
804522,0.0,0.0,R
809138,0.95,0.0,R
687578,0.475,0.0,L
677916,0.42222223,0.0,R
685112,0.38,0.0,R
679066,0.2923077,0.0,R
801432,0.2923077,0.0,R
687776,1.3,0.0,R
691582,1.0857143,0.0,R
691032,0.27941176,0.0,R
667356,0.8142857,0.0,R
605138,0.475,0.0,L
