Umpire,K_Factor,Games,Num. Pitches,Correct Calls Above Exp.,Accuracy,Expected Accuracy,Accuracy Above Expected,Min. Accuracy,Max. Accuracy,Num. Challenged,Num. Overturned,Chal. Win Pct.,Avg. Consistency,Avg. Favor
Adam Beck,1.0083,8,1303,14.95,94.17,93.02,1.15,90.91,97.01,30,13,0.43,94.09,0.4
Adam Hamari,1.0046,8,1199,7.99,93.83,93.16,0.67,90.0,96.99,24,12,0.5,93.99,0.63
Adrian Johnson,0.9905,6,1081,-8.48,92.51,93.29,-0.78,90.48,95.14,34,19,0.56,93.43,0.52
Alan Porter,1.0017,8,1134,4.5,93.56,93.17,0.4,88.65,95.93,29,14,0.48,93.83,0.41
Alex MacKay,1.0057,7,1136,6.39,93.93,93.36,0.56,89.36,95.24,30,15,0.5,94.63,0.43
Alex Tosi,1.0108,8,1127,11.13,94.41,93.42,0.99,91.16,97.46,31,14,0.45,94.59,0.28
Alfonso Márquez,0.9997,8,1221,-5.68,93.37,93.83,-0.47,90.51,96.05,27,17,0.63,94.19,0.21
Andy Fletcher,0.9908,8,1314,-13.07,92.54,93.54,-0.99,89.47,94.27,35,27,0.77,93.76,0.4
Austin Jones,1.0034,6,1003,7.9,93.72,92.93,0.79,91.09,95.3,28,13,0.46,93.52,0.57
Ben May,1.0003,6,1035,0.02,93.43,93.43,0.0,92.16,95.68,21,12,0.57,93.43,0.33
Bill Miller,0.9922,9,1432,-4.26,92.67,92.96,-0.3,90.48,94.94,36,21,0.58,93.16,0.71
Brennan Miller,1.0008,7,1103,-5.23,93.47,93.95,-0.47,90.91,96.85,21,9,0.43,94.38,0.46
Brian O'Nora,0.9894,8,1331,-18.07,92.41,93.77,-1.36,87.58,94.51,36,17,0.47,92.26,0.42
Brian Walsh,0.9979,7,1029,-3.84,93.2,93.57,-0.37,90.67,95.8,35,25,0.71,94.17,0.52
Brock Ballou,1.0103,6,887,8.01,94.36,93.46,0.9,90.55,97.65,20,11,0.55,94.59,0.61
Bruce Dreckman,0.9917,9,1422,-6.4,92.62,93.07,-0.45,90.23,94.49,43,23,0.53,92.76,0.46
Carlos Torres,0.9956,9,1341,-2.15,92.99,93.15,-0.16,88.75,96.15,32,18,0.56,94.63,0.5
CB Bucknor,0.9778,2,369,-8.43,91.33,93.61,-2.29,88.34,95.89,9,7,0.78,93.22,0.53
Chad Fairchild,0.9979,8,1191,-8.41,93.2,93.9,-0.71,88.64,96.24,29,17,0.59,95.55,0.36
Chad Whitson,1.0004,8,1204,-4.33,93.44,93.8,-0.36,89.73,96.75,37,22,0.59,94.93,0.62
Charlie Ramos,1.0,8,1182,-1.18,93.4,93.5,-0.1,91.96,96.38,42,24,0.57,93.32,0.58
Chris Conroy,1.0107,8,1268,12.12,94.4,93.44,0.96,90.64,97.08,30,15,0.5,94.48,0.47
Chris Guccione,1.0026,8,1243,-2.43,93.64,93.84,-0.2,92.61,95.35,37,21,0.57,93.48,0.55
Chris Segal,0.9883,8,1183,-19.34,92.31,93.94,-1.64,88.82,95.02,36,26,0.72,93.49,0.7
Clint Vondrak,1.0012,7,1001,-5.97,93.51,94.1,-0.6,89.29,95.24,17,11,0.65,95.1,0.71
Cory Blaser,1.0,7,1031,-1.84,93.4,93.58,-0.18,87.97,95.63,28,16,0.57,93.31,0.4
D.J. Reyburn,0.9949,7,1060,-6.96,92.92,93.58,-0.66,84.91,96.32,33,18,0.55,93.58,0.34
Dan Bellino,0.9969,9,1306,-5.2,93.11,93.51,-0.4,90.48,95.9,40,22,0.55,93.19,0.44
Dan Iassogna,0.9851,9,1465,-21.74,92.01,93.5,-1.48,87.88,95.88,42,24,0.57,92.42,0.76
Dan Merzel,1.0035,7,1053,5.79,93.73,93.18,0.55,91.97,97.04,29,14,0.48,93.92,0.27
David Rackley,1.0025,8,1224,-0.7,93.63,93.68,-0.06,91.6,95.88,30,10,0.33,93.06,0.43
Derek Thomas,1.0127,5,925,9.77,94.59,93.54,1.06,91.98,98.04,23,6,0.26,94.92,0.77
Dexter Kelley,1.007,5,823,0.3,94.05,94.01,0.04,90.2,96.89,24,9,0.38,93.8,0.71
Dillon Wilson,1.0307,1,134,1.18,96.27,95.39,0.88,96.27,96.27,1,0,0.0,95.52,0.11
Doug Eddings,0.9947,8,1352,-10.89,92.9,93.7,-0.81,88.39,97.18,37,24,0.65,93.49,0.71
Edwin Jimenez,1.0167,4,635,9.93,94.96,93.4,1.56,93.41,97.52,10,3,0.3,95.12,0.38
Edwin Moscoso,1.0225,9,1422,22.96,95.5,93.88,1.61,92.59,98.47,40,18,0.45,94.87,0.67
Emil Jimenez,0.9892,5,880,-4.54,92.39,92.9,-0.52,86.98,95.63,20,6,0.3,91.7,0.28
Erich Bacchus,0.9972,8,1312,-5.06,93.14,93.53,-0.39,88.89,95.49,23,9,0.39,94.51,0.67
Felix Neon,0.9795,2,305,-3.14,91.48,92.51,-1.03,90.91,91.98,15,12,0.8,94.43,0.27
Gabe Morales,1.0101,8,1236,7.43,94.34,93.74,0.6,92.76,97.74,30,15,0.5,94.66,0.53
Hunter Wendelstedt,0.9888,9,1308,-11.26,92.35,93.22,-0.86,86.82,95.65,49,33,0.67,92.43,0.79
Jacob Metz,0.9806,5,809,-18.84,91.59,93.92,-2.33,89.17,94.58,30,20,0.67,93.57,0.71
James Hoye,1.0079,8,1246,3.06,94.14,93.9,0.25,91.2,96.99,29,13,0.45,95.18,0.27
James Jean,1.0047,7,1087,3.67,93.84,93.5,0.34,90.85,96.17,22,12,0.55,94.57,0.23
Jansen Visconti,1.0141,8,1194,11.23,94.72,93.78,0.94,92.96,97.81,28,13,0.46,95.31,0.48
Jen Pawol,0.9682,2,345,-8.27,90.43,92.83,-2.4,89.76,91.06,9,5,0.56,92.75,0.2
Jeremie Rehak,1.0167,7,1131,19.38,94.96,93.25,1.71,92.91,98.65,29,13,0.45,94.52,0.34
Jim Wolf,1.0001,6,925,-2.92,93.41,93.72,-0.32,90.74,95.21,24,15,0.63,95.03,0.59
John Bacon,0.9843,6,855,-18.26,91.93,94.07,-2.14,88.39,94.44,39,27,0.69,91.81,0.54
John Libka,1.0078,9,1295,4.94,94.13,93.75,0.38,91.07,97.74,28,13,0.46,94.9,0.67
John Tumpane,1.0223,8,1196,24.85,95.48,93.41,2.08,93.96,97.46,27,8,0.3,94.23,0.29
Jonathan Parra,1.016,2,372,0.5,94.89,94.76,0.14,94.71,95.05,9,4,0.44,95.7,0.38
Jordan Baker,0.9943,8,1206,-6.35,92.87,93.4,-0.53,89.86,95.73,28,13,0.46,92.12,0.54
Junior Valentine,1.0116,7,1123,11.28,94.48,93.47,1.0,93.46,95.92,26,15,0.58,95.55,0.57
Lance Barksdale,0.9959,9,1419,-0.35,93.02,93.05,-0.02,87.58,96.36,37,15,0.41,92.88,0.5
Lance Barrett,0.9951,10,1544,-8.55,92.94,93.49,-0.55,89.71,96.59,48,28,0.58,94.43,0.37
Laz Diaz,0.9905,8,1295,-22.84,92.51,94.27,-1.76,89.5,94.9,41,24,0.59,93.44,0.33
Louie Krupa,1.0392,1,136,2.65,97.06,95.11,1.95,97.06,97.06,4,1,0.25,96.32,0.75
Malachi Moore,0.9987,10,1592,5.5,93.28,92.93,0.35,91.67,94.89,38,19,0.5,93.34,0.72
Manny Gonzalez,0.9937,9,1446,-12.31,92.81,93.66,-0.85,89.16,96.5,46,24,0.52,93.08,0.38
Mark Ripperger,1.0168,9,1450,20.07,94.97,93.58,1.38,91.0,98.57,34,14,0.41,93.66,0.34
Mark Wegner,1.0049,8,1336,4.56,93.86,93.52,0.34,90.64,96.69,27,15,0.56,94.46,0.43
Marvin Hudson,0.9884,8,1172,-16.11,92.32,93.7,-1.37,90.0,96.1,26,16,0.62,93.17,0.39
Mike Estabrook,0.9889,9,1388,-12.01,92.36,93.23,-0.87,88.68,95.26,36,23,0.64,93.37,0.36
Mike Muchlinski,1.006,9,1441,5.57,93.96,93.58,0.39,91.11,98.28,35,21,0.6,93.62,0.28
Nate Tomlinson,1.0078,8,1260,2.58,94.13,93.92,0.2,90.13,97.93,25,12,0.48,95.16,0.59
Nestor Ceja,1.01,8,1147,7.64,94.33,93.67,0.67,88.79,96.67,29,16,0.55,94.33,0.33
Nic Lentz,0.9967,9,1504,-6.24,93.09,93.5,-0.41,89.88,95.09,46,19,0.41,93.55,0.61
Nick Mahrley,1.01,5,759,3.06,94.33,93.93,0.4,91.27,96.3,19,11,0.58,93.28,0.51
Paul Clemons,0.988,8,1166,-15.44,92.28,93.61,-1.32,87.18,95.83,28,18,0.64,93.65,0.36
Quinn Wolcott,1.004,9,1476,4.2,93.77,93.48,0.28,91.5,96.24,39,19,0.49,94.92,0.55
Ramon De Jesus,1.0017,5,761,0.93,93.56,93.44,0.12,91.75,95.86,26,14,0.54,93.56,0.39
Rob Drake,0.9901,8,1196,-9.45,92.47,93.26,-0.79,90.77,94.92,35,20,0.57,93.56,0.31
Roberto Ortiz,0.9896,9,1454,-17.03,92.43,93.61,-1.17,88.24,95.93,42,25,0.6,94.84,0.51
Ron Kulpa,0.9575,2,388,-14.35,89.43,93.13,-3.7,88.46,90.09,14,11,0.79,92.78,1.43
Ryan Additon,0.9967,8,1302,-0.56,93.09,93.13,-0.04,89.07,96.15,39,17,0.44,92.93,0.41
Ryan Blakney,0.9997,8,1192,-4.63,93.37,93.76,-0.39,91.37,95.24,34,19,0.56,93.37,0.58
Ryan Wills,1.0021,8,1203,1.6,93.6,93.47,0.13,91.23,96.77,36,21,0.58,94.01,0.34
Scott Barry,0.9969,8,1175,-7.71,93.11,93.76,-0.66,91.72,94.44,29,15,0.52,92.09,0.44
