Umpire,Games,Num. Pitches,Correct Calls Above Exp.,Accuracy,Expected Accuracy,Accuracy Above Expected,Min. Accuracy,Max. Accuracy,Num. Challenged,Num. Overturned,Chal. Win Pct.,Avg. Consistency,Avg. Favor,Clean_Metric,K_Factor
Adam Beck,5,828,11.96,94.32,92.88,1.44,91.72,97.01,18,7,0.39,95.05,0.37,0.9431999999999999,1.0103
Adam Hamari,5,800,9.87,94.0,92.77,1.23,92.36,95.76,15,8,0.53,94.5,0.62,0.94,1.0069
Adrian Johnson,6,1081,-8.48,92.51,93.29,-0.78,90.48,95.14,34,19,0.56,93.43,0.52,0.9251,0.9909
Alan Porter,5,734,14.76,95.1,93.08,2.01,94.32,95.93,12,6,0.5,95.23,0.41,0.951,1.0186
Alex MacKay,4,637,3.57,93.41,92.85,0.56,89.36,95.04,17,8,0.47,94.35,0.31,0.9340999999999999,1.0005
Alex Tosi,5,747,2.34,93.57,93.26,0.31,91.16,97.1,24,12,0.5,95.05,0.33,0.9357,1.0022
Alfonso Márquez,5,715,2.36,93.85,93.52,0.33,90.54,96.05,15,9,0.6,94.13,0.23,0.9384999999999999,1.0052
Andy Fletcher,5,820,-11.02,91.95,93.3,-1.34,89.47,93.48,25,21,0.84,94.39,0.46,0.9195,0.9849
Austin Jones,3,556,3.32,92.99,92.39,0.6,91.09,94.33,18,9,0.5,92.99,1.04,0.9299,0.996
Ben May,3,575,-2.61,92.52,92.98,-0.45,92.16,92.75,11,5,0.45,92.35,0.26,0.9251999999999999,0.991
Bill Miller,6,940,6.92,92.98,92.24,0.74,90.48,94.94,27,16,0.59,92.45,0.37,0.9298000000000001,0.9959
Brennan Miller,4,709,-6.24,92.67,93.55,-0.88,90.91,95.31,15,8,0.53,94.36,0.64,0.9267,0.9926
Brian O'Nora,5,801,-9.7,92.01,93.22,-1.21,87.58,94.22,21,10,0.48,92.26,0.33,0.9201,0.9855
Brian Walsh,4,594,-0.87,92.93,93.08,-0.15,90.67,94.56,22,15,0.68,93.77,0.62,0.9293,0.9954
Brock Ballou,4,581,1.14,92.77,92.58,0.2,90.55,94.74,16,10,0.63,93.8,0.7,0.9277,0.9937
Bruce Dreckman,6,995,3.87,92.96,92.58,0.39,92.26,93.55,30,17,0.57,92.76,0.37,0.9296,0.9957
Carlos Torres,5,788,4.85,93.15,92.53,0.62,90.91,94.29,20,10,0.5,94.8,0.42,0.9315000000000001,0.9977
CB Bucknor,2,369,-8.43,91.33,93.61,-2.29,88.34,95.89,9,7,0.78,93.22,0.53,0.9133,0.9783
Chad Fairchild,5,743,3.4,93.54,93.08,0.46,91.6,95.68,19,13,0.68,94.35,0.33,0.9354,1.0019
Chad Whitson,5,765,-0.84,93.07,93.18,-0.11,89.73,96.75,27,17,0.63,94.77,0.88,0.9307,0.9969
